MAC;Id;Name;IsEnabled;CreatedAt;UpdatedAt
60:77:71:60:C7:96;60af95845b05620007da51da;B21032112;PRAWDA;27.05.2021 14:50;
60:77:71:5F:EA:D9;609e630c4c22070007d665ec;K6-000742;PRAWDA;14.05.2021 13:46;18.05.2021 12:40
60:77:71:60:C4:74;60af95865b05620007da525f;B21031902;PRAWDA;27.05.2021 14:50;
60:77:71:5F:EC:C4;60950dad4c22070007d664bb;K6-006844;PRAWDA;07.05.2021 11:51;18.05.2021 12:40
60:77:71:5F:D8:18;60950dad4c22070007d664fa;K3-002623;PRAWDA;07.05.2021 11:51;18.05.2021 12:40
60:77:71:61:00:2D;60a770505b05620007da511e;K6-000095;PRAWDA;21.05.2021 10:33;24.05.2021 10:00
60:77:71:60:C5:10;609e630c4c22070007d665ea;K6-000540;PRAWDA;14.05.2021 13:46;18.05.2021 12:40
60:77:71:5F:D7:AE;609e630f4c22070007d666d4;K3-000446;PRAWDA;14.05.2021 13:46;24.05.2021 10:00
60:77:71:5D:E0:07;60af95855b05620007da5209;B21032701;PRAWDA;27.05.2021 14:50;
60:77:71:60:C5:04;60a7704d5b05620007da5054;B21031873;PRAWDA;21.05.2021 10:33;
60:77:71:5F:EA:FF;609e63104c22070007d66725;B21031007;PRAWDA;14.05.2021 13:46;
60:77:71:5F:EA:D4;60af958e5b05620007da5457;K6-007553;PRAWDA;27.05.2021 14:50;17.06.2021 12:23
60:77:71:5F:EB:29;60af958e5b05620007da5455;K3-000819;PRAWDA;27.05.2021 14:50;17.06.2021 12:23
60:77:71:5D:DF:0C;60a770505b05620007da5137;K3-003572;PRAWDA;21.05.2021 10:33;24.05.2021 10:00
60:77:71:60:C7:84;609e630d4c22070007d66633;K6-000392;PRAWDA;14.05.2021 13:46;24.05.2021 10:00
60:77:71:5F:E9:E3;60a7704e5b05620007da50a5;K6-000051;PRAWDA;21.05.2021 10:33;24.05.2021 10:00
60:77:71:60:C1:D2;60af958a5b05620007da5357;B21031427;PRAWDA;27.05.2021 14:50;
